NAME,CPU %,MEM USAGE / LIMIT / MEM %,NET I/O,BLOCK I/O,STATUS,Date/Time
postgres,0.00%,140.3MiB / 1.946GiB / 7.04%,58.7MB / 73.5MB,104MB / 1.17GB,Up,2023-10-17 16:36:36.521686
ipsec-vpn-server,0.00%,9.316MiB / 1.946GiB / 0.47%,1.38GB / 1.44GB,16MB / 139kB,Up,2023-10-17 16:36:36.521686
platform-nginx-1,0.02%,109.4MiB / 1.946GiB / 5.49%,114MB / 93.2MB,93.7MB / 58.3MB,Up,2023-10-17 16:46:36.521007
odoo,0.02%,252.9MiB / 1.946GiB / 12.69%,79.6MB / 148MB,152MB / 352kB,Up,2023-10-17 16:46:36.521007
platform-pgadmin-1,0.03%,115.8MiB / 1.946GiB / 5.81%,50.4kB / 579kB,11.3MB / 12.4MB,Up,2023-10-17 16:46:36.521007
platform-dps-1,0.02%,39.4MiB / 1.946GiB / 1.98%,1.19MB / 1.2MB,33.9MB / 49MB,Up,2023-10-17 16:46:36.521007
postgres,0.03%,140.3MiB / 1.946GiB / 7.04%,58.9MB / 73.6MB,104MB / 1.18GB,Up,2023-10-17 16:46:36.521007
ipsec-vpn-server,0.00%,9.328MiB / 1.946GiB / 0.47%,1.38GB / 1.44GB,16MB / 139kB,Up,2023-10-17 16:46:36.521007
platform-nginx-1,0.02%,109.7MiB / 1.946GiB / 5.51%,114MB / 93.2MB,93.7MB / 58.3MB,Up,2023-10-17 16:56:36.521678
odoo,0.02%,252.9MiB / 1.946GiB / 12.69%,79.7MB / 148MB,152MB / 352kB,Up,2023-10-17 16:56:36.521678
platform-pgadmin-1,0.05%,115.8MiB / 1.946GiB / 5.81%,50.4kB / 579kB,11.3MB / 12.4MB,Up,2023-10-17 16:56:36.521678
platform-dps-1,0.02%,39.4MiB / 1.946GiB / 1.98%,1.19MB / 1.2MB,33.9MB / 49.1MB,Up,2023-10-17 16:56:36.521678
postgres,0.00%,140.3MiB / 1.946GiB / 7.04%,59MB / 73.8MB,104MB / 1.18GB,Up,2023-10-17 16:56:36.521678
ipsec-vpn-server,0.00%,9.344MiB / 1.946GiB / 0.47%,1.38GB / 1.44GB,16MB / 139kB,Up,2023-10-17 16:56:36.521678
platform-nginx-1,0.02%,103.8MiB / 1.946GiB / 5.21%,114MB / 93.2MB,93.7MB / 58.3MB,Up,2023-10-17 17:06:36.520132
odoo,0.02%,252.9MiB / 1.946GiB / 12.69%,79.9MB / 149MB,152MB / 356kB,Up,2023-10-17 17:06:36.520132
platform-pgadmin-1,0.04%,116.9MiB / 1.946GiB / 5.87%,50.4kB / 579kB,11.3MB / 12.4MB,Up,2023-10-17 17:06:36.520132
platform-dps-1,0.02%,39.4MiB / 1.946GiB / 1.98%,1.19MB / 1.2MB,33.9MB / 49.2MB,Up,2023-10-17 17:06:36.520132
postgres,0.00%,140.3MiB / 1.946GiB / 7.04%,59.2MB / 73.9MB,104MB / 1.18GB,Up,2023-10-17 17:06:36.520132
ipsec-vpn-server,0.00%,9.332MiB / 1.946GiB / 0.47%,1.38GB / 1.44GB,16MB / 139kB,Up,2023-10-17 17:06:36.520132
platform-nginx-1,0.02%,104.1MiB / 1.946GiB / 5.22%,114MB / 93.2MB,93.7MB / 58.3MB,Up,2023-10-17 17:16:36.516240
odoo,0.02%,252.9MiB / 1.946GiB / 12.69%,80.1MB / 149MB,152MB / 356kB,Up,2023-10-17 17:16:36.516240
platform-pgadmin-1,0.04%,116.9MiB / 1.946GiB / 5.87%,50.4kB / 579kB,11.3MB / 12.4MB,Up,2023-10-17 17:16:36.516240
platform-dps-1,0.01%,39.4MiB / 1.946GiB / 1.98%,1.19MB / 1.2MB,33.9MB / 49.3MB,Up,2023-10-17 17:16:36.516240
postgres,0.00%,140.3MiB / 1.946GiB / 7.04%,59.3MB / 74.1MB,104MB / 1.19GB,Up,2023-10-17 17:16:36.516240
ipsec-vpn-server,0.00%,9.305MiB / 1.946GiB / 0.47%,1.38GB / 1.44GB,16MB / 139kB,Up,2023-10-17 17:16:36.516240
platform-nginx-1,0.02%,103.6MiB / 1.946GiB / 5.20%,114MB / 93.2MB,93.7MB / 58.3MB,Up,2023-10-17 17:26:36.516691
odoo,0.02%,252.9MiB / 1.946GiB / 12.69%,80.3MB / 149MB,152MB / 356kB,Up,2023-10-17 17:26:36.516691
platform-pgadmin-1,0.04%,116.9MiB / 1.946GiB / 5.87%,50.4kB / 579kB,11.3MB / 12.4MB,Up,2023-10-17 17:26:36.516691
platform-dps-1,0.01%,39.4MiB / 1.946GiB / 1.98%,1.19MB / 1.2MB,33.9MB / 49.4MB,Up,2023-10-17 17:26:36.516691
postgres,0.00%,140.3MiB / 1.946GiB / 7.04%,59.5MB / 74.2MB,104MB / 1.19GB,Up,2023-10-17 17:26:36.516691
ipsec-vpn-server,0.00%,9.32MiB / 1.946GiB / 0.47%,1.38GB / 1.44GB,16MB / 139kB,Up,2023-10-17 17:26:36.516691
platform-nginx-1,0.02%,108.6MiB / 1.946GiB / 5.45%,114MB / 93.3MB,93.9MB / 58.3MB,Up,2023-10-17 17:36:36.515275
odoo,0.02%,252.9MiB / 1.946GiB / 12.69%,80.5MB / 149MB,152MB / 356kB,Up,2023-10-17 17:36:36.515275
platform-pgadmin-1,0.04%,116.9MiB / 1.946GiB / 5.87%,50.4kB / 579kB,11.3MB / 12.4MB,Up,2023-10-17 17:36:36.515275
platform-dps-1,0.01%,39.4MiB / 1.946GiB / 1.98%,1.19MB / 1.2MB,33.9MB / 49.6MB,Up,2023-10-17 17:36:36.515275
postgres,0.00%,140.3MiB / 1.946GiB / 7.04%,59.7MB / 74.4MB,104MB / 1.19GB,Up,2023-10-17 17:36:36.515275
ipsec-vpn-server,0.00%,9.312MiB / 1.946GiB / 0.47%,1.38GB / 1.44GB,16MB / 139kB,Up,2023-10-17 17:36:36.515275
platform-nginx-1,0.02%,108.7MiB / 1.946GiB / 5.45%,114MB / 93.3MB,93.9MB / 58.3MB,Up,2023-10-17 17:38:29.252576
odoo,0.02%,252.9MiB / 1.946GiB / 12.69%,80.5MB / 149MB,152MB / 356kB,Up,2023-10-17 17:38:29.252576
platform-pgadmin-1,0.04%,116.9MiB / 1.946GiB / 5.87%,50.4kB / 579kB,11.3MB / 12.4MB,Up,2023-10-17 17:38:29.252576
platform-dps-1,0.03%,39.4MiB / 1.946GiB / 1.98%,1.19MB / 1.2MB,33.9MB / 49.6MB,Up,2023-10-17 17:38:29.252576
postgres,0.04%,140.3MiB / 1.946GiB / 7.04%,59.7MB / 74.4MB,104MB / 1.19GB,Up,2023-10-17 17:38:29.252576
ipsec-vpn-server,0.08%,9.316MiB / 1.946GiB / 0.47%,1.38GB / 1.44GB,16MB / 139kB,Up,2023-10-17 17:38:29.252576
platform-nginx-1,0.02%,108.7MiB / 1.946GiB / 5.46%,114MB / 93.3MB,93.9MB / 58.3MB,Up,2023-10-17 17:39:24.717898
odoo,0.02%,252.9MiB / 1.946GiB / 12.69%,80.5MB / 149MB,152MB / 356kB,Up,2023-10-17 17:39:24.717898
platform-pgadmin-1,0.05%,116.9MiB / 1.946GiB / 5.87%,50.8kB / 579kB,11.3MB / 12.4MB,Up,2023-10-17 17:39:24.717898
platform-dps-1,0.01%,39.4MiB / 1.946GiB / 1.98%,1.19MB / 1.2MB,33.9MB / 49.6MB,Up,2023-10-17 17:39:24.717898
postgres,0.00%,140.3MiB / 1.946GiB / 7.04%,59.7MB / 74.5MB,104MB / 1.19GB,Up,2023-10-17 17:39:24.717898
ipsec-vpn-server,0.00%,9.684MiB / 1.946GiB / 0.49%,1.38GB / 1.44GB,16MB / 139kB,Up,2023-10-17 17:39:24.717898
platform-nginx-1,0.02%,108.9MiB / 1.946GiB / 5.47%,114MB / 93.3MB,93.9MB / 58.3MB,Up,2023-10-17 17:46:36.515800
odoo,0.02%,252.9MiB / 1.946GiB / 12.69%,80.6MB / 149MB,152MB / 356kB,Up,2023-10-17 17:46:36.515800
platform-pgadmin-1,0.04%,116.9MiB / 1.946GiB / 5.87%,50.8kB / 579kB,11.3MB / 12.4MB,Up,2023-10-17 17:46:36.515800
platform-dps-1,0.01%,39.4MiB / 1.946GiB / 1.98%,1.19MB / 1.2MB,33.9MB / 49.7MB,Up,2023-10-17 17:46:36.515800
postgres,0.01%,140.3MiB / 1.946GiB / 7.04%,59.8MB / 74.5MB,104MB / 1.19GB,Up,2023-10-17 17:46:36.515800
ipsec-vpn-server,0.00%,9.34MiB / 1.946GiB / 0.47%,1.38GB / 1.44GB,16MB / 139kB,Up,2023-10-17 17:46:36.515800
platform-nginx-1,0.02%,108.1MiB / 1.946GiB / 5.42%,114MB / 93.3MB,93.9MB / 58.3MB,Up,2023-10-17 17:48:29.252866
odoo,0.02%,252.9MiB / 1.946GiB / 12.69%,80.7MB / 149MB,152MB / 356kB,Up,2023-10-17 17:48:29.252866
platform-pgadmin-1,0.04%,116.9MiB / 1.946GiB / 5.87%,50.8kB / 579kB,11.3MB / 12.4MB,Up,2023-10-17 17:48:29.252866
platform-dps-1,0.01%,39.4MiB / 1.946GiB / 1.98%,1.19MB / 1.2MB,33.9MB / 49.7MB,Up,2023-10-17 17:48:29.252866
postgres,0.00%,140.3MiB / 1.946GiB / 7.04%,59.8MB / 74.6MB,104MB / 1.2GB,Up,2023-10-17 17:48:29.252866
ipsec-vpn-server,0.00%,9.633MiB / 1.946GiB / 0.48%,1.38GB / 1.44GB,16MB / 139kB,Up,2023-10-17 17:48:29.252866
platform-nginx-1,0.02%,108.1MiB / 1.946GiB / 5.42%,114MB / 93.3MB,93.9MB / 58.3MB,Up,2023-10-17 17:49:24.718046
odoo,0.02%,252.9MiB / 1.946GiB / 12.69%,80.7MB / 149MB,152MB / 356kB,Up,2023-10-17 17:49:24.718046
platform-pgadmin-1,0.04%,116.9MiB / 1.946GiB / 5.87%,50.8kB / 579kB,11.3MB / 12.4MB,Up,2023-10-17 17:49:24.718046
platform-dps-1,0.01%,39.4MiB / 1.946GiB / 1.98%,1.19MB / 1.2MB,33.9MB / 49.7MB,Up,2023-10-17 17:49:24.718046
postgres,0.00%,140.3MiB / 1.946GiB / 7.04%,59.9MB / 74.6MB,104MB / 1.2GB,Up,2023-10-17 17:49:24.718046
ipsec-vpn-server,0.00%,9.633MiB / 1.946GiB / 0.48%,1.38GB / 1.44GB,16MB / 139kB,Up,2023-10-17 17:49:24.718046
