CPU %,Memory %,Memory mb,Memory max,Disk %,Date/Time
1.9,47.8,768176128,1089884160,37.7,2023-10-18 03:28:29.251784
1.9,47.8,768122880,1089937408,37.7,2023-10-18 03:29:24.718002
2.0,48.0,772026368,1086033920,37.7,2023-10-18 03:36:05.408987
2.0,47.9,768503808,1089556480,37.7,2023-10-18 03:36:36.519719
2.0,47.8,768053248,1090007040,37.7,2023-10-18 03:38:29.251746
2.0,47.8,768040960,1090019328,37.7,2023-10-18 03:39:24.722844
1.9,47.8,768135168,1089925120,37.7,2023-10-18 03:46:05.408261
1.9,47.8,767963136,1090097152,37.7,2023-10-18 03:46:36.515463
1.9,47.9,768417792,1089642496,37.7,2023-10-18 03:48:29.252104
1.9,47.9,768647168,1089413120,37.7,2023-10-18 03:49:24.718048
1.8,47.9,768880640,1089179648,37.7,2023-10-18 03:56:05.408051
1.8,47.9,768454656,1089605632,37.7,2023-10-18 03:56:36.515455
1.7,47.9,768847872,1089212416,37.7,2023-10-18 03:58:29.252147
1.7,47.9,768405504,1089654784,37.7,2023-10-18 03:59:24.718080
1.7,47.9,768573440,1089486848,37.7,2023-10-18 04:06:05.408129
1.7,47.9,768495616,1089564672,37.7,2023-10-18 04:06:36.515386
1.6,47.8,767967232,1090093056,37.7,2023-10-18 04:08:29.252043
1.6,47.8,768217088,1089843200,37.7,2023-10-18 04:09:24.718168
1.6,47.9,768729088,1089327104,37.7,2023-10-18 04:16:05.407896
1.6,47.8,768167936,1089888256,37.7,2023-10-18 04:16:36.515049
1.6,47.9,770076672,1087983616,37.7,2023-10-18 04:18:29.251821
1.6,47.9,768544768,1089515520,37.7,2023-10-18 04:19:24.718103
1.6,47.9,769142784,1088917504,37.8,2023-10-18 04:26:05.408376
1.6,47.9,768425984,1089634304,37.8,2023-10-18 04:26:36.515573
1.6,47.9,768749568,1089294336,37.8,2023-10-18 04:28:29.252580
1.6,47.9,768720896,1089339392,37.8,2023-10-18 04:29:24.718117
1.6,48.0,770752512,1087307776,37.8,2023-10-18 04:36:05.407619
1.6,47.9,770002944,1088057344,37.8,2023-10-18 04:36:36.515285
1.6,48.0,770510848,1087549440,37.8,2023-10-18 04:38:29.252316
1.6,47.9,770285568,1087774720,37.8,2023-10-18 04:39:24.718020
1.6,47.9,769953792,1088106496,37.8,2023-10-18 04:46:05.407875
1.6,47.9,768724992,1089331200,37.8,2023-10-18 04:46:36.515697
1.7,47.9,769720320,1088339968,37.8,2023-10-18 04:48:29.252555
1.6,47.9,769777664,1088282624,37.8,2023-10-18 04:49:24.717997
1.6,48.0,770502656,1087557632,37.8,2023-10-18 04:56:05.407549
1.6,48.0,771035136,1087025152,37.8,2023-10-18 04:56:36.515255
1.6,47.9,770203648,1087856640,37.8,2023-10-18 04:58:29.252424
1.6,47.9,770179072,1087881216,37.8,2023-10-18 04:59:24.717915
1.6,48.0,772005888,1086054400,37.8,2023-10-18 05:06:05.408231
1.6,47.9,770060288,1088000000,37.8,2023-10-18 05:06:36.518875
1.7,48.0,772349952,1085710336,37.8,2023-10-18 05:08:29.252164
1.7,48.0,770539520,1087520768,37.8,2023-10-18 05:09:24.717766
1.7,48.1,773627904,1084432384,37.8,2023-10-18 05:16:05.408052
1.7,48.0,770920448,1087139840,37.8,2023-10-18 05:16:36.515329
1.7,48.0,770699264,1087361024,37.8,2023-10-18 05:18:29.251974
1.7,48.0,771821568,1086238720,37.8,2023-10-18 05:19:24.718174
1.7,47.9,770273280,1087787008,37.8,2023-10-18 05:26:05.408758
1.7,47.9,769568768,1088491520,37.8,2023-10-18 05:26:36.518567
1.7,48.0,770695168,1087365120,37.8,2023-10-18 05:28:29.251913
1.7,48.0,771047424,1087012864,37.8,2023-10-18 05:29:24.717744
1.7,48.1,774344704,1083715584,37.8,2023-10-18 05:36:05.408270
1.7,48.2,775860224,1082200064,37.8,2023-10-18 05:36:36.518019
1.8,48.0,771555328,1086504960,37.8,2023-10-18 05:38:29.251998
1.8,48.1,772521984,1085538304,37.8,2023-10-18 05:39:24.718433
1.7,48.0,771072000,1086984192,37.8,2023-10-18 05:46:05.408192
1.8,48.1,772497408,1085562880,37.8,2023-10-18 05:46:36.515324
1.8,47.9,769925120,1088135168,37.8,2023-10-18 05:48:29.252314
1.8,47.9,770183168,1087877120,37.8,2023-10-18 05:49:24.717866
1.8,48.0,770351104,1087709184,37.8,2023-10-18 05:56:05.408168
1.8,47.9,769884160,1088176128,37.8,2023-10-18 05:56:36.515808
1.8,48.0,771289088,1086771200,37.8,2023-10-18 05:58:29.252285
1.8,47.9,770224128,1087836160,37.8,2023-10-18 05:59:24.717977
1.9,48.0,770912256,1087197184,37.8,2023-10-18 06:06:05.407888
2.0,48.0,772419584,1085689856,37.8,2023-10-18 06:06:36.515328
2.0,48.0,770801664,1087307776,37.8,2023-10-18 06:08:29.252229
2.0,48.0,770830336,1087279104,37.8,2023-10-18 06:09:24.717988
1.9,48.1,772894720,1085210624,37.8,2023-10-18 06:16:05.408101
1.9,47.9,769740800,1088368640,37.8,2023-10-18 06:16:36.515781
2.0,48.0,771375104,1086734336,37.8,2023-10-18 06:18:29.251961
2.0,48.1,772939776,1085169664,37.8,2023-10-18 06:19:24.717653
2.0,48.3,776822784,1081253888,37.9,2023-10-18 06:26:05.408277
2.0,48.1,773955584,1084121088,37.9,2023-10-18 06:26:36.518309
1.8,48.0,771526656,1086545920,37.9,2023-10-18 06:28:29.252018
1.8,48.0,771788800,1086287872,37.9,2023-10-18 06:29:24.718030
1.9,48.1,772722688,1085353984,37.9,2023-10-18 06:36:05.408505
1.9,47.9,769830912,1088245760,37.9,2023-10-18 06:36:36.515340
2.0,48.1,773169152,1084907520,37.9,2023-10-18 06:38:29.252544
2.0,48.0,771100672,1086976000,37.9,2023-10-18 06:39:24.718086
1.9,47.9,770285568,1087791104,37.9,2023-10-18 06:46:05.407831
1.9,48.2,775462912,1082613760,37.9,2023-10-18 06:46:36.515259
1.9,48.0,770502656,1087574016,37.9,2023-10-18 06:48:29.252953
1.9,48.0,772005888,1086070784,37.9,2023-10-18 06:49:24.718394
1.7,48.0,771203072,1086873600,37.9,2023-10-18 06:56:05.407785
1.6,47.9,769110016,1088966656,37.9,2023-10-18 06:56:36.515053
1.5,47.8,768225280,1089851392,37.9,2023-10-18 06:58:29.251748
1.4,47.9,769372160,1088704512,37.9,2023-10-18 06:59:24.718239
1.2,47.9,769470464,1088606208,37.9,2023-10-18 07:06:05.408298
1.2,47.9,769445888,1088630784,37.9,2023-10-18 07:06:36.515366
0.9,47.9,768372736,1089699840,37.9,2023-10-18 07:08:29.252564
0.9,48.0,770494464,1087582208,37.9,2023-10-18 07:09:24.718251
0.7,47.9,769638400,1088438272,37.9,2023-10-18 07:16:05.407898
0.7,47.9,768524288,1089552384,37.9,2023-10-18 07:16:36.515660
0.6,47.9,768839680,1089236992,37.9,2023-10-18 07:18:29.251929
0.6,47.9,768802816,1089273856,37.9,2023-10-18 07:19:24.718030
0.6,47.9,768290816,1089785856,37.9,2023-10-18 07:26:05.408506
0.6,47.9,768679936,1089396736,37.9,2023-10-18 07:26:36.518326
0.6,47.9,768401408,1089675264,37.9,2023-10-18 07:28:29.251877
0.6,47.9,769331200,1088745472,37.9,2023-10-18 07:29:24.718134
1.2,48.0,770547712,1087442944,37.9,2023-10-18 07:36:05.408473
1.2,47.9,769744896,1088245760,37.9,2023-10-18 07:36:36.515309
1.3,47.9,770199552,1087791104,37.9,2023-10-18 07:38:29.251829
1.3,48.0,771641344,1086349312,37.9,2023-10-18 07:39:24.717782
1.2,47.9,768491520,1089495040,37.9,2023-10-18 07:46:05.407896
1.2,47.8,767832064,1090150400,37.9,2023-10-18 07:46:36.515357
1.4,47.9,768450560,1089540096,37.9,2023-10-18 07:48:29.252829
1.3,47.9,768458752,1089531904,37.9,2023-10-18 07:49:24.718140
1.2,47.9,768688128,1089302528,37.9,2023-10-18 07:56:05.407941
1.2,47.9,768225280,1089765376,37.9,2023-10-18 07:56:36.515183
0.6,47.9,768675840,1089314816,37.9,2023-10-18 07:58:29.251893
0.6,47.9,768811008,1089179648,37.9,2023-10-18 07:59:24.717825
0.6,47.9,769126400,1088864256,37.9,2023-10-18 08:06:05.407434
0.6,47.9,768557056,1089425408,37.9,2023-10-18 08:06:36.515071
0.6,47.9,768872448,1089118208,37.9,2023-10-18 08:08:29.252683
0.6,47.9,768970752,1089015808,37.9,2023-10-18 08:09:24.718128
0.6,47.9,769142784,1088843776,37.9,2023-10-18 08:16:05.408808
0.6,47.8,767758336,1090228224,37.9,2023-10-18 08:16:36.518657
0.6,47.9,768208896,1089781760,37.9,2023-10-18 08:18:29.251979
0.6,47.9,768385024,1089605632,37.9,2023-10-18 08:19:24.717825
0.6,47.9,768417792,1089568768,37.9,2023-10-18 08:26:05.407362
0.6,47.9,768180224,1089810432,37.9,2023-10-18 08:26:36.515043
0.6,47.9,768647168,1089343488,37.9,2023-10-18 08:28:29.252292
0.6,47.9,768749568,1089241088,37.9,2023-10-18 08:29:24.717906
0.6,48.0,770973696,1087025152,37.9,2023-10-18 08:36:05.408454
0.6,47.9,768696320,1089302528,37.9,2023-10-18 08:36:36.515837
0.7,47.9,770031616,1087967232,37.9,2023-10-18 08:38:29.252018
0.7,47.9,768299008,1089699840,37.9,2023-10-18 08:39:24.717695
0.7,47.9,769564672,1088430080,37.9,2023-10-18 08:46:05.408015
0.7,47.9,769134592,1088864256,37.9,2023-10-18 08:46:36.515340
0.7,47.9,768503808,1089495040,37.9,2023-10-18 08:48:29.251846
